date,open,high,low,close,volume,average,barCount
2025-09-24 17:15:00-04:00,148.8645,148.8655,148.7825,148.8025,-1.0,-1.0,-1
2025-09-24 17:20:00-04:00,148.8025,148.8025,148.7715,148.7875,-1.0,-1.0,-1
2025-09-24 17:25:00-04:00,148.7875,148.817,148.778,148.8085,-1.0,-1.0,-1
2025-09-24 17:30:00-04:00,148.8085,148.8275,148.802,148.821,-1.0,-1.0,-1
2025-09-24 17:35:00-04:00,148.821,148.8245,148.8125,148.815,-1.0,-1.0,-1
2025-09-24 17:40:00-04:00,148.815,148.815,148.806,148.8135,-1.0,-1.0,-1
2025-09-24 17:45:00-04:00,148.8135,148.815,148.804,148.806,-1.0,-1.0,-1
2025-09-24 17:50:00-04:00,148.806,148.8105,148.8015,148.8085,-1.0,-1.0,-1
2025-09-24 17:55:00-04:00,148.8085,148.814,148.783,148.7905,-1.0,-1.0,-1
2025-09-24 18:00:00-04:00,148.7905,148.8285,148.7885,148.8285,-1.0,-1.0,-1
2025-09-24 18:05:00-04:00,148.8285,148.8315,148.8255,148.829,-1.0,-1.0,-1
2025-09-24 18:10:00-04:00,148.829,148.8515,148.828,148.848,-1.0,-1.0,-1
2025-09-24 18:15:00-04:00,148.848,148.853,148.83,148.842,-1.0,-1.0,-1
2025-09-24 18:20:00-04:00,148.842,148.848,148.821,148.84,-1.0,-1.0,-1
2025-09-24 18:25:00-04:00,148.84,148.851,148.827,148.8355,-1.0,-1.0,-1
2025-09-24 18:30:00-04:00,148.8355,148.8415,148.8075,148.817,-1.0,-1.0,-1
2025-09-24 18:35:00-04:00,148.817,148.8175,148.794,148.806,-1.0,-1.0,-1
2025-09-24 18:40:00-04:00,148.806,148.819,148.806,148.808,-1.0,-1.0,-1
2025-09-24 18:45:00-04:00,148.808,148.808,148.7995,148.7995,-1.0,-1.0,-1
2025-09-24 18:50:00-04:00,148.7995,148.8005,148.782,148.7855,-1.0,-1.0,-1
2025-09-24 18:55:00-04:00,148.7855,148.809,148.7845,148.8065,-1.0,-1.0,-1
2025-09-24 19:00:00-04:00,148.8065,148.837,148.801,148.808,-1.0,-1.0,-1
2025-09-24 19:05:00-04:00,148.808,148.834,148.7945,148.833,-1.0,-1.0,-1
2025-09-24 19:10:00-04:00,148.833,148.834,148.7945,148.796,-1.0,-1.0,-1
2025-09-24 19:15:00-04:00,148.796,148.8095,148.779,148.797,-1.0,-1.0,-1
2025-09-24 19:20:00-04:00,148.797,148.8025,148.772,148.785,-1.0,-1.0,-1
2025-09-24 19:25:00-04:00,148.785,148.793,148.765,148.7795,-1.0,-1.0,-1
2025-09-24 19:30:00-04:00,148.7795,148.818,148.7795,148.814,-1.0,-1.0,-1
2025-09-24 19:35:00-04:00,148.814,148.8155,148.7955,148.796,-1.0,-1.0,-1
2025-09-24 19:40:00-04:00,148.796,148.805,148.794,148.802,-1.0,-1.0,-1
2025-09-24 19:45:00-04:00,148.802,148.822,148.7715,148.7725,-1.0,-1.0,-1
2025-09-24 19:50:00-04:00,148.7725,148.7735,148.7275,148.759,-1.0,-1.0,-1
2025-09-24 19:55:00-04:00,148.759,148.786,148.736,148.785,-1.0,-1.0,-1
2025-09-24 20:00:00-04:00,148.785,148.7985,148.682,148.7135,-1.0,-1.0,-1
2025-09-24 20:05:00-04:00,148.7135,148.7145,148.6705,148.693,-1.0,-1.0,-1
2025-09-24 20:10:00-04:00,148.693,148.7305,148.69,148.7155,-1.0,-1.0,-1
2025-09-24 20:15:00-04:00,148.7155,148.7175,148.6585,148.674,-1.0,-1.0,-1
2025-09-24 20:20:00-04:00,148.674,148.694,148.6595,148.6705,-1.0,-1.0,-1
2025-09-24 20:25:00-04:00,148.6705,148.6785,148.653,148.6585,-1.0,-1.0,-1
2025-09-24 20:30:00-04:00,148.6585,148.684,148.643,148.6615,-1.0,-1.0,-1
2025-09-24 20:35:00-04:00,148.6615,148.6775,148.641,148.647,-1.0,-1.0,-1
2025-09-24 20:40:00-04:00,148.647,148.668,148.6355,148.638,-1.0,-1.0,-1
2025-09-24 20:45:00-04:00,148.638,148.646,148.622,148.625,-1.0,-1.0,-1
2025-09-24 20:50:00-04:00,148.625,148.684,148.602,148.6785,-1.0,-1.0,-1
2025-09-24 20:55:00-04:00,148.6785,148.686,148.563,148.575,-1.0,-1.0,-1
2025-09-24 21:00:00-04:00,148.575,148.6,148.56,148.599,-1.0,-1.0,-1
2025-09-24 21:05:00-04:00,148.599,148.599,148.5725,148.5905,-1.0,-1.0,-1
2025-09-24 21:10:00-04:00,148.5905,148.6455,148.5905,148.6225,-1.0,-1.0,-1
2025-09-24 21:15:00-04:00,148.6225,148.6915,148.6195,148.691,-1.0,-1.0,-1
2025-09-24 21:20:00-04:00,148.691,148.7035,148.674,148.684,-1.0,-1.0,-1
2025-09-24 21:25:00-04:00,148.684,148.7465,148.683,148.7345,-1.0,-1.0,-1
2025-09-24 21:30:00-04:00,148.7345,148.7475,148.7165,148.7275,-1.0,-1.0,-1
2025-09-24 21:35:00-04:00,148.7275,148.795,148.715,148.7855,-1.0,-1.0,-1
2025-09-24 21:40:00-04:00,148.7855,148.823,148.7815,148.819,-1.0,-1.0,-1
2025-09-24 21:45:00-04:00,148.819,148.8595,148.806,148.816,-1.0,-1.0,-1
2025-09-24 21:50:00-04:00,148.816,148.8275,148.764,148.7675,-1.0,-1.0,-1
2025-09-24 21:55:00-04:00,148.7675,148.7735,148.7475,148.756,-1.0,-1.0,-1
2025-09-24 22:00:00-04:00,148.756,148.7585,148.711,148.714,-1.0,-1.0,-1
2025-09-24 22:05:00-04:00,148.714,148.7285,148.6845,148.6895,-1.0,-1.0,-1
2025-09-24 22:10:00-04:00,148.6895,148.7055,148.6175,148.6475,-1.0,-1.0,-1
2025-09-24 22:15:00-04:00,148.6475,148.6635,148.6335,148.658,-1.0,-1.0,-1
2025-09-24 22:20:00-04:00,148.658,148.727,148.658,148.7245,-1.0,-1.0,-1
2025-09-24 22:25:00-04:00,148.7245,148.7295,148.7055,148.717,-1.0,-1.0,-1
2025-09-24 22:30:00-04:00,148.717,148.7265,148.681,148.6895,-1.0,-1.0,-1
2025-09-24 22:35:00-04:00,148.6895,148.7165,148.674,148.692,-1.0,-1.0,-1
2025-09-24 22:40:00-04:00,148.692,148.693,148.6755,148.681,-1.0,-1.0,-1
2025-09-24 22:45:00-04:00,148.681,148.684,148.6685,148.682,-1.0,-1.0,-1
2025-09-24 22:50:00-04:00,148.682,148.7265,148.682,148.726,-1.0,-1.0,-1
2025-09-24 22:55:00-04:00,148.726,148.7605,148.726,148.7525,-1.0,-1.0,-1
2025-09-24 23:00:00-04:00,148.7525,148.774,148.739,148.739,-1.0,-1.0,-1
2025-09-24 23:05:00-04:00,148.739,148.7455,148.7155,148.727,-1.0,-1.0,-1
2025-09-24 23:10:00-04:00,148.727,148.736,148.7185,148.7275,-1.0,-1.0,-1
2025-09-24 23:15:00-04:00,148.7275,148.7455,148.7015,148.7025,-1.0,-1.0,-1
2025-09-24 23:20:00-04:00,148.7025,148.7065,148.679,148.68,-1.0,-1.0,-1
2025-09-24 23:25:00-04:00,148.68,148.6915,148.6635,148.68,-1.0,-1.0,-1
2025-09-24 23:30:00-04:00,148.68,148.681,148.6625,148.6785,-1.0,-1.0,-1
2025-09-24 23:35:00-04:00,148.6785,148.695,148.6705,148.671,-1.0,-1.0,-1
2025-09-24 23:40:00-04:00,148.671,148.682,148.663,148.6735,-1.0,-1.0,-1
2025-09-24 23:45:00-04:00,148.6735,148.6895,148.668,148.673,-1.0,-1.0,-1
2025-09-24 23:50:00-04:00,148.673,148.698,148.6725,148.695,-1.0,-1.0,-1
2025-09-24 23:55:00-04:00,148.695,148.697,148.672,148.674,-1.0,-1.0,-1
2025-09-25 00:00:00-04:00,148.674,148.6785,148.6355,148.654,-1.0,-1.0,-1
2025-09-25 00:05:00-04:00,148.654,148.701,148.6515,148.6865,-1.0,-1.0,-1
2025-09-25 00:10:00-04:00,148.6865,148.697,148.68,148.693,-1.0,-1.0,-1
2025-09-25 00:15:00-04:00,148.693,148.693,148.6735,148.675,-1.0,-1.0,-1
2025-09-25 00:20:00-04:00,148.675,148.678,148.6585,148.6685,-1.0,-1.0,-1
2025-09-25 00:25:00-04:00,148.6685,148.669,148.648,148.6565,-1.0,-1.0,-1
2025-09-25 00:30:00-04:00,148.6565,148.679,148.653,148.6745,-1.0,-1.0,-1
2025-09-25 00:35:00-04:00,148.6745,148.6745,148.649,148.662,-1.0,-1.0,-1
2025-09-25 00:40:00-04:00,148.662,148.6705,148.648,148.648,-1.0,-1.0,-1
2025-09-25 00:45:00-04:00,148.648,148.649,148.6335,148.6445,-1.0,-1.0,-1
2025-09-25 00:50:00-04:00,148.6445,148.6585,148.6015,148.61,-1.0,-1.0,-1
2025-09-25 00:55:00-04:00,148.61,148.6315,148.6025,148.6065,-1.0,-1.0,-1
2025-09-25 01:00:00-04:00,148.6065,148.634,148.6005,148.6335,-1.0,-1.0,-1
2025-09-25 01:05:00-04:00,148.6335,148.6505,148.623,148.6505,-1.0,-1.0,-1
2025-09-25 01:10:00-04:00,148.6505,148.684,148.646,148.6785,-1.0,-1.0,-1
2025-09-25 01:15:00-04:00,148.6785,148.7015,148.6785,148.691,-1.0,-1.0,-1
2025-09-25 01:20:00-04:00,148.691,148.737,148.6905,148.734,-1.0,-1.0,-1
2025-09-25 01:25:00-04:00,148.734,148.7565,148.7325,148.754,-1.0,-1.0,-1
2025-09-25 01:30:00-04:00,148.754,148.7675,148.7325,148.7445,-1.0,-1.0,-1
2025-09-25 01:35:00-04:00,148.7445,148.7475,148.722,148.732,-1.0,-1.0,-1
2025-09-25 01:40:00-04:00,148.732,148.7735,148.7155,148.76,-1.0,-1.0,-1
2025-09-25 01:45:00-04:00,148.76,148.806,148.7595,148.78,-1.0,-1.0,-1
2025-09-25 01:50:00-04:00,148.78,148.8075,148.776,148.7795,-1.0,-1.0,-1
2025-09-25 01:55:00-04:00,148.7795,148.8135,148.7755,148.811,-1.0,-1.0,-1
2025-09-25 02:00:00-04:00,148.811,148.8365,148.788,148.834,-1.0,-1.0,-1
2025-09-25 02:05:00-04:00,148.834,148.844,148.8145,148.842,-1.0,-1.0,-1
2025-09-25 02:10:00-04:00,148.842,148.8645,148.834,148.847,-1.0,-1.0,-1
2025-09-25 02:15:00-04:00,148.847,148.847,148.7705,148.781,-1.0,-1.0,-1
2025-09-25 02:20:00-04:00,148.781,148.838,148.781,148.823,-1.0,-1.0,-1
2025-09-25 02:25:00-04:00,148.823,148.8435,148.812,148.835,-1.0,-1.0,-1
2025-09-25 02:30:00-04:00,148.835,148.838,148.778,148.7835,-1.0,-1.0,-1
2025-09-25 02:35:00-04:00,148.7835,148.816,148.7815,148.8085,-1.0,-1.0,-1
2025-09-25 02:40:00-04:00,148.8085,148.836,148.768,148.7695,-1.0,-1.0,-1
2025-09-25 02:45:00-04:00,148.7695,148.806,148.768,148.792,-1.0,-1.0,-1
2025-09-25 02:50:00-04:00,148.792,148.8015,148.731,148.754,-1.0,-1.0,-1
2025-09-25 02:55:00-04:00,148.754,148.7955,148.754,148.7835,-1.0,-1.0,-1
2025-09-25 03:00:00-04:00,148.7835,148.8045,148.7545,148.7575,-1.0,-1.0,-1
2025-09-25 03:05:00-04:00,148.7575,148.768,148.724,148.7655,-1.0,-1.0,-1
2025-09-25 03:10:00-04:00,148.7655,148.791,148.6985,148.7035,-1.0,-1.0,-1
2025-09-25 03:15:00-04:00,148.7035,148.7035,148.6335,148.69,-1.0,-1.0,-1
2025-09-25 03:20:00-04:00,148.69,148.716,148.687,148.71,-1.0,-1.0,-1
2025-09-25 03:25:00-04:00,148.71,148.7275,148.668,148.727,-1.0,-1.0,-1
2025-09-25 03:30:00-04:00,148.727,148.7555,148.67,148.67,-1.0,-1.0,-1
2025-09-25 03:35:00-04:00,148.67,148.697,148.654,148.6565,-1.0,-1.0,-1
2025-09-25 03:40:00-04:00,148.6565,148.719,148.6545,148.711,-1.0,-1.0,-1
2025-09-25 03:45:00-04:00,148.711,148.7595,148.709,148.7425,-1.0,-1.0,-1
2025-09-25 03:50:00-04:00,148.7425,148.788,148.74,148.774,-1.0,-1.0,-1
2025-09-25 03:55:00-04:00,148.774,148.8285,148.7705,148.8215,-1.0,-1.0,-1
2025-09-25 04:00:00-04:00,148.8215,148.8255,148.7745,148.778,-1.0,-1.0,-1
2025-09-25 04:05:00-04:00,148.778,148.8165,148.756,148.7655,-1.0,-1.0,-1
2025-09-25 04:10:00-04:00,148.7655,148.7735,148.7245,148.727,-1.0,-1.0,-1
2025-09-25 04:15:00-04:00,148.727,148.7395,148.664,148.671,-1.0,-1.0,-1
2025-09-25 04:20:00-04:00,148.671,148.725,148.6685,148.7135,-1.0,-1.0,-1
2025-09-25 04:25:00-04:00,148.7135,148.734,148.7025,148.7125,-1.0,-1.0,-1
2025-09-25 04:30:00-04:00,148.7125,148.7475,148.687,148.745,-1.0,-1.0,-1
2025-09-25 04:35:00-04:00,148.745,148.7825,148.7445,148.779,-1.0,-1.0,-1
2025-09-25 04:40:00-04:00,148.779,148.784,148.756,148.771,-1.0,-1.0,-1
2025-09-25 04:45:00-04:00,148.771,148.794,148.7415,148.791,-1.0,-1.0,-1
2025-09-25 04:50:00-04:00,148.791,148.8015,148.751,148.7535,-1.0,-1.0,-1
2025-09-25 04:55:00-04:00,148.7535,148.7545,148.711,148.7425,-1.0,-1.0,-1
2025-09-25 05:00:00-04:00,148.7425,148.781,148.738,148.765,-1.0,-1.0,-1
2025-09-25 05:05:00-04:00,148.765,148.768,148.695,148.7035,-1.0,-1.0,-1
2025-09-25 05:10:00-04:00,148.7035,148.733,148.6855,148.7325,-1.0,-1.0,-1
2025-09-25 05:15:00-04:00,148.7325,148.7605,148.7245,148.759,-1.0,-1.0,-1
2025-09-25 05:20:00-04:00,148.759,148.768,148.736,148.7585,-1.0,-1.0,-1
2025-09-25 05:25:00-04:00,148.7585,148.801,148.7535,148.793,-1.0,-1.0,-1
2025-09-25 05:30:00-04:00,148.793,148.813,148.772,148.791,-1.0,-1.0,-1
2025-09-25 05:35:00-04:00,148.791,148.8105,148.786,148.7965,-1.0,-1.0,-1
2025-09-25 05:40:00-04:00,148.7965,148.814,148.7855,148.798,-1.0,-1.0,-1
2025-09-25 05:45:00-04:00,148.798,148.8,148.765,148.765,-1.0,-1.0,-1
2025-09-25 05:50:00-04:00,148.765,148.7685,148.7425,148.753,-1.0,-1.0,-1
2025-09-25 05:55:00-04:00,148.753,148.807,148.753,148.794,-1.0,-1.0,-1
2025-09-25 06:00:00-04:00,148.794,148.799,148.765,148.7685,-1.0,-1.0,-1
2025-09-25 06:05:00-04:00,148.7685,148.7725,148.75,148.7555,-1.0,-1.0,-1
