date,open,high,low,close,volume,average,barCount
2025-09-24 17:15:00-04:00,0.6583,0.658335,0.658245,0.658245,-1.0,-1.0,-1
2025-09-24 17:20:00-04:00,0.658245,0.65844,0.658245,0.658415,-1.0,-1.0,-1
2025-09-24 17:25:00-04:00,0.658415,0.65844,0.65821,0.65833,-1.0,-1.0,-1
2025-09-24 17:30:00-04:00,0.65833,0.65839,0.65823,0.658305,-1.0,-1.0,-1
2025-09-24 17:35:00-04:00,0.658305,0.65835,0.658225,0.65823,-1.0,-1.0,-1
2025-09-24 17:40:00-04:00,0.65823,0.65823,0.65819,0.658225,-1.0,-1.0,-1
2025-09-24 17:45:00-04:00,0.658225,0.65823,0.658115,0.65812,-1.0,-1.0,-1
2025-09-24 17:50:00-04:00,0.65812,0.65822,0.65812,0.658215,-1.0,-1.0,-1
2025-09-24 17:55:00-04:00,0.658215,0.658215,0.65803,0.65806,-1.0,-1.0,-1
2025-09-24 18:00:00-04:00,0.65806,0.658485,0.65804,0.658425,-1.0,-1.0,-1
2025-09-24 18:05:00-04:00,0.658425,0.65847,0.65839,0.658425,-1.0,-1.0,-1
2025-09-24 18:10:00-04:00,0.658425,0.658465,0.658395,0.658415,-1.0,-1.0,-1
2025-09-24 18:15:00-04:00,0.658415,0.65846,0.658405,0.658435,-1.0,-1.0,-1
2025-09-24 18:20:00-04:00,0.658435,0.658475,0.658415,0.658425,-1.0,-1.0,-1
2025-09-24 18:25:00-04:00,0.658425,0.658475,0.658395,0.65844,-1.0,-1.0,-1
2025-09-24 18:30:00-04:00,0.65844,0.658485,0.658415,0.658425,-1.0,-1.0,-1
2025-09-24 18:35:00-04:00,0.658425,0.658435,0.65839,0.65842,-1.0,-1.0,-1
2025-09-24 18:40:00-04:00,0.65842,0.65843,0.65837,0.65841,-1.0,-1.0,-1
2025-09-24 18:45:00-04:00,0.65841,0.658525,0.65839,0.658525,-1.0,-1.0,-1
2025-09-24 18:50:00-04:00,0.658525,0.658565,0.658525,0.658525,-1.0,-1.0,-1
2025-09-24 18:55:00-04:00,0.658525,0.658615,0.658485,0.65858,-1.0,-1.0,-1
2025-09-24 19:00:00-04:00,0.65858,0.65858,0.65848,0.65848,-1.0,-1.0,-1
2025-09-24 19:05:00-04:00,0.65848,0.658545,0.658465,0.658495,-1.0,-1.0,-1
2025-09-24 19:10:00-04:00,0.658495,0.65854,0.658485,0.65854,-1.0,-1.0,-1
2025-09-24 19:15:00-04:00,0.65854,0.658585,0.65853,0.65855,-1.0,-1.0,-1
2025-09-24 19:20:00-04:00,0.65855,0.65859,0.65853,0.65854,-1.0,-1.0,-1
2025-09-24 19:25:00-04:00,0.65854,0.658565,0.658445,0.658455,-1.0,-1.0,-1
2025-09-24 19:30:00-04:00,0.658455,0.6585,0.65844,0.658465,-1.0,-1.0,-1
2025-09-24 19:35:00-04:00,0.658465,0.658565,0.658455,0.65854,-1.0,-1.0,-1
2025-09-24 19:40:00-04:00,0.65854,0.65857,0.658525,0.65856,-1.0,-1.0,-1
2025-09-24 19:45:00-04:00,0.65856,0.6586,0.658385,0.65841,-1.0,-1.0,-1
2025-09-24 19:50:00-04:00,0.65841,0.658645,0.6584,0.658545,-1.0,-1.0,-1
2025-09-24 19:55:00-04:00,0.658545,0.65865,0.65854,0.658605,-1.0,-1.0,-1
2025-09-24 20:00:00-04:00,0.658605,0.65895,0.65858,0.658835,-1.0,-1.0,-1
2025-09-24 20:05:00-04:00,0.658835,0.65892,0.65872,0.658845,-1.0,-1.0,-1
2025-09-24 20:10:00-04:00,0.658845,0.658845,0.65857,0.65859,-1.0,-1.0,-1
2025-09-24 20:15:00-04:00,0.65859,0.658625,0.658435,0.658575,-1.0,-1.0,-1
2025-09-24 20:20:00-04:00,0.658575,0.658665,0.65848,0.658585,-1.0,-1.0,-1
2025-09-24 20:25:00-04:00,0.658585,0.658815,0.658555,0.658775,-1.0,-1.0,-1
2025-09-24 20:30:00-04:00,0.658775,0.658895,0.658775,0.65888,-1.0,-1.0,-1
2025-09-24 20:35:00-04:00,0.65888,0.65905,0.65888,0.659,-1.0,-1.0,-1
2025-09-24 20:40:00-04:00,0.659,0.65914,0.659,0.659045,-1.0,-1.0,-1
2025-09-24 20:45:00-04:00,0.659045,0.65934,0.659015,0.659135,-1.0,-1.0,-1
2025-09-24 20:50:00-04:00,0.659135,0.659155,0.65881,0.658865,-1.0,-1.0,-1
2025-09-24 20:55:00-04:00,0.658865,0.659395,0.658865,0.659315,-1.0,-1.0,-1
2025-09-24 21:00:00-04:00,0.659315,0.65944,0.659285,0.65939,-1.0,-1.0,-1
2025-09-24 21:05:00-04:00,0.65939,0.65945,0.659175,0.659185,-1.0,-1.0,-1
2025-09-24 21:10:00-04:00,0.659185,0.65922,0.65913,0.65921,-1.0,-1.0,-1
2025-09-24 21:15:00-04:00,0.65921,0.65922,0.65887,0.658905,-1.0,-1.0,-1
2025-09-24 21:20:00-04:00,0.658905,0.65902,0.658825,0.65893,-1.0,-1.0,-1
2025-09-24 21:25:00-04:00,0.65893,0.65894,0.658765,0.658765,-1.0,-1.0,-1
2025-09-24 21:30:00-04:00,0.658765,0.65918,0.65872,0.659025,-1.0,-1.0,-1
2025-09-24 21:35:00-04:00,0.659025,0.65909,0.658805,0.658885,-1.0,-1.0,-1
2025-09-24 21:40:00-04:00,0.658885,0.65889,0.65855,0.6586,-1.0,-1.0,-1
2025-09-24 21:45:00-04:00,0.6586,0.65872,0.658465,0.658505,-1.0,-1.0,-1
2025-09-24 21:50:00-04:00,0.658505,0.65884,0.65843,0.658795,-1.0,-1.0,-1
2025-09-24 21:55:00-04:00,0.658795,0.658795,0.658705,0.65873,-1.0,-1.0,-1
2025-09-24 22:00:00-04:00,0.65873,0.659055,0.65873,0.659035,-1.0,-1.0,-1
2025-09-24 22:05:00-04:00,0.659035,0.659035,0.6589,0.65903,-1.0,-1.0,-1
2025-09-24 22:10:00-04:00,0.65903,0.65925,0.65891,0.659185,-1.0,-1.0,-1
2025-09-24 22:15:00-04:00,0.659185,0.659225,0.65898,0.659115,-1.0,-1.0,-1
2025-09-24 22:20:00-04:00,0.659115,0.659125,0.65898,0.65909,-1.0,-1.0,-1
2025-09-24 22:25:00-04:00,0.65909,0.65932,0.65909,0.65928,-1.0,-1.0,-1
2025-09-24 22:30:00-04:00,0.65928,0.659425,0.659225,0.659425,-1.0,-1.0,-1
2025-09-24 22:35:00-04:00,0.659425,0.65955,0.65929,0.659525,-1.0,-1.0,-1
2025-09-24 22:40:00-04:00,0.659525,0.659595,0.659455,0.659475,-1.0,-1.0,-1
2025-09-24 22:45:00-04:00,0.659475,0.65962,0.659475,0.659535,-1.0,-1.0,-1
2025-09-24 22:50:00-04:00,0.659535,0.659535,0.659235,0.659285,-1.0,-1.0,-1
2025-09-24 22:55:00-04:00,0.659285,0.65984,0.65915,0.659835,-1.0,-1.0,-1
2025-09-24 23:00:00-04:00,0.659835,0.6599,0.65964,0.659895,-1.0,-1.0,-1
2025-09-24 23:05:00-04:00,0.659895,0.659915,0.65976,0.65982,-1.0,-1.0,-1
2025-09-24 23:10:00-04:00,0.65982,0.65989,0.659715,0.659805,-1.0,-1.0,-1
2025-09-24 23:15:00-04:00,0.659805,0.659925,0.6598,0.659875,-1.0,-1.0,-1
2025-09-24 23:20:00-04:00,0.659875,0.659905,0.65978,0.659905,-1.0,-1.0,-1
2025-09-24 23:25:00-04:00,0.659905,0.65998,0.65975,0.659825,-1.0,-1.0,-1
2025-09-24 23:30:00-04:00,0.659825,0.65993,0.659715,0.659875,-1.0,-1.0,-1
2025-09-24 23:35:00-04:00,0.659875,0.65992,0.659715,0.659775,-1.0,-1.0,-1
2025-09-24 23:40:00-04:00,0.659775,0.659845,0.659775,0.659815,-1.0,-1.0,-1
2025-09-24 23:45:00-04:00,0.659815,0.659815,0.65971,0.65971,-1.0,-1.0,-1
2025-09-24 23:50:00-04:00,0.65971,0.659875,0.65971,0.65986,-1.0,-1.0,-1
2025-09-24 23:55:00-04:00,0.65986,0.660015,0.65983,0.65993,-1.0,-1.0,-1
2025-09-25 00:00:00-04:00,0.65993,0.660075,0.659885,0.659905,-1.0,-1.0,-1
2025-09-25 00:05:00-04:00,0.659905,0.65993,0.659705,0.659725,-1.0,-1.0,-1
2025-09-25 00:10:00-04:00,0.659725,0.659775,0.65969,0.659735,-1.0,-1.0,-1
2025-09-25 00:15:00-04:00,0.659735,0.659835,0.659685,0.65976,-1.0,-1.0,-1
2025-09-25 00:20:00-04:00,0.65976,0.660005,0.659725,0.659965,-1.0,-1.0,-1
2025-09-25 00:25:00-04:00,0.659965,0.66003,0.65991,0.659935,-1.0,-1.0,-1
2025-09-25 00:30:00-04:00,0.659935,0.659945,0.659705,0.65973,-1.0,-1.0,-1
2025-09-25 00:35:00-04:00,0.65973,0.659855,0.659705,0.659825,-1.0,-1.0,-1
2025-09-25 00:40:00-04:00,0.659825,0.65992,0.659785,0.659835,-1.0,-1.0,-1
2025-09-25 00:45:00-04:00,0.659835,0.659855,0.659725,0.65973,-1.0,-1.0,-1
2025-09-25 00:50:00-04:00,0.65973,0.659825,0.65971,0.659765,-1.0,-1.0,-1
2025-09-25 00:55:00-04:00,0.659765,0.659815,0.65973,0.659765,-1.0,-1.0,-1
2025-09-25 01:00:00-04:00,0.659765,0.65983,0.659595,0.6596,-1.0,-1.0,-1
2025-09-25 01:05:00-04:00,0.6596,0.65967,0.65958,0.65962,-1.0,-1.0,-1
2025-09-25 01:10:00-04:00,0.65962,0.659645,0.659405,0.65941,-1.0,-1.0,-1
2025-09-25 01:15:00-04:00,0.65941,0.65941,0.6593,0.659335,-1.0,-1.0,-1
2025-09-25 01:20:00-04:00,0.659335,0.659415,0.65928,0.659285,-1.0,-1.0,-1
2025-09-25 01:25:00-04:00,0.659285,0.659305,0.659185,0.659215,-1.0,-1.0,-1
2025-09-25 01:30:00-04:00,0.659215,0.659245,0.659045,0.659065,-1.0,-1.0,-1
2025-09-25 01:35:00-04:00,0.659065,0.659275,0.65906,0.659275,-1.0,-1.0,-1
2025-09-25 01:40:00-04:00,0.659275,0.659625,0.65914,0.659385,-1.0,-1.0,-1
2025-09-25 01:45:00-04:00,0.659385,0.659385,0.659325,0.659365,-1.0,-1.0,-1
2025-09-25 01:50:00-04:00,0.659365,0.659455,0.65929,0.659455,-1.0,-1.0,-1
2025-09-25 01:55:00-04:00,0.659455,0.65958,0.65943,0.65946,-1.0,-1.0,-1
2025-09-25 02:00:00-04:00,0.65946,0.659515,0.65924,0.659285,-1.0,-1.0,-1
2025-09-25 02:05:00-04:00,0.659285,0.659355,0.659205,0.65923,-1.0,-1.0,-1
2025-09-25 02:10:00-04:00,0.65923,0.659285,0.659135,0.65927,-1.0,-1.0,-1
2025-09-25 02:15:00-04:00,0.65927,0.659755,0.659245,0.65969,-1.0,-1.0,-1
2025-09-25 02:20:00-04:00,0.65969,0.659865,0.65964,0.659725,-1.0,-1.0,-1
2025-09-25 02:25:00-04:00,0.659725,0.659735,0.65954,0.659665,-1.0,-1.0,-1
2025-09-25 02:30:00-04:00,0.659665,0.660025,0.659665,0.65999,-1.0,-1.0,-1
2025-09-25 02:35:00-04:00,0.65999,0.660055,0.65979,0.659855,-1.0,-1.0,-1
2025-09-25 02:40:00-04:00,0.659855,0.659855,0.65954,0.659655,-1.0,-1.0,-1
2025-09-25 02:45:00-04:00,0.659655,0.65967,0.659465,0.65966,-1.0,-1.0,-1
2025-09-25 02:50:00-04:00,0.65966,0.65966,0.6595,0.65959,-1.0,-1.0,-1
